model,api,mean_abs_before,mean_abs_after,t_statistic,p_value_raw,cohens_d,effect_size,n,p_value_fdr,sig_after_fdr,significance
gpt-4o,AWS,0.15023,0.09802799999999999,2.443849439992937,0.018178364512003824,0.3456125022435904,small,50,0.027267546768005736,True,*
gpt-4o,Google,0.292,0.22,5.1396472036224266,4.78373258622854e-06,0.7268558781175789,medium,50,4.3053593276056865e-05,True,***
gpt-4o,Azure,0.686,0.6412,1.2089742606627094,0.23247422121170225,0.17097477959891888,negligible,50,0.261533498863165,False,ns
gpt-5-5,AWS,0.15023,0.10411200000000001,2.9199316603409393,0.005277820557270957,0.41294069552567464,small,50,0.009500077003087722,True,**
gpt-5-5,Google,0.292,0.244,3.8300703217354464,0.00036469443839491845,0.5416537393840952,medium,50,0.0010940833151847553,True,**
gpt-5-5,Azure,0.686,0.6537999999999999,1.4955988811414649,0.14117150096369202,0.21150962215802863,small,50,0.18150621552474688,False,ns
gemini-2.5-pro,AWS,0.15023,0.098466,3.184060867530975,0.0025245064238344473,0.45029420622837485,small,50,0.005680139453627506,True,**
gemini-2.5-pro,Google,0.292,0.23199999999999998,4.58257569495584,3.1835719580674515e-05,0.648074069840786,medium,50,0.00014326073811303533,True,***
gemini-2.5-pro,Azure,0.686,0.6911999999999999,-0.18380800486042898,0.8549226164453649,-0.025994377334635842,negligible,50,0.8549226164453649,False,ns
