model_a,model_b,mean_a,mean_b,mean_diff,t_statistic,p_value_raw,cohens_d,effect_size,n,p_value_fdr,sig_after_fdr
gpt-4o,gpt-5-5,17.159999999999997,20.882600000000004,-3.722600000000002,-0.5295224993440749,0.5988341064405253,-0.07488579001540892,negligible,50,0.8982511596607878,False
gpt-4o,gemini-2.5-pro,17.159999999999997,17.3538,-0.1938000000000018,-0.036201682873115704,0.9712686257974014,-0.005119691089989002,negligible,50,0.9712686257974014,False
gpt-5-5,gemini-2.5-pro,20.882600000000004,17.3538,3.5288,0.6525779440484999,0.5170784062218526,0.09228845789789393,negligible,50,0.8982511596607878,False
