model,api,mean_before,mean_after,t_statistic,p_value_raw,cohens_d,effect_size,significance,n,p_value_fdr,sig_after_fdr
gpt-4o,AWS,0.16593308657244288,0.12760259450329584,2.1474402688136474,0.036836757564627155,0.3067771812590924,small,*,49,0.047361545440234916,True
gpt-4o,Google,0.285298055189839,0.21443877675066716,5.287405296236888,2.866952060395652e-06,0.7477520279701539,medium,***,50,2.5802568543560868e-05,True
gpt-4o,Azure,0.42033183168733407,0.4777163740441861,-1.5661470832524553,0.12388380215051108,-0.22373529760749356,small,ns,49,0.13936927741932495,False
gpt-5-5,AWS,0.16593308657244288,0.1283517590019927,2.641396849793268,0.011110764290442493,0.377342407113324,small,*,49,0.01999937572279649,True
gpt-5-5,Google,0.285298055189839,0.23663854086180838,3.90822289493194,0.00028543060320235827,0.5527061822789788,medium,***,50,0.0008562918096070749,True
gpt-5-5,Azure,0.42033183168733407,0.44484054362032166,-0.7963950385302873,0.4297238883927349,-0.11377071979004101,negligible,ns,49,0.4297238883927349,False
gemini-2.5-pro,AWS,0.16593308657244288,0.12327702979568007,2.8216262490427284,0.006930329432447223,0.40308946414896113,small,**,49,0.015593241223006251,True
gemini-2.5-pro,Google,0.285298055189839,0.22494071894608272,4.66054291748882,2.451200565178764e-05,0.6591003001934563,medium,***,50,0.00011030402543304438,True
gemini-2.5-pro,Azure,0.42033183168733407,0.4968497840054156,-2.1713473279231206,0.034878971606200536,-0.3101924754175886,small,*,49,0.047361545440234916,True
