model,mean_before,mean_after,reduction_pct,t_statistic,p_value,cohens_d,effect_size,significance,n
gpt-4o,1.4390303180553061,1.1556940732961807,17.159999999999997,2.3252691762097326,0.024242020248739837,0.32884272051639185,small,*,50
gpt-5-5,1.4390303180553061,1.1330219443768927,20.882600000000004,4.422540644520249,5.419616468877319e-05,0.6254416959626785,medium,***,50
gemini-2.5-pro,1.4390303180553061,1.2024421517990858,17.3538,2.271749097120923,0.02752835748483424,0.32127383834572426,small,*,50
