model,api,mean_before,mean_after,reduction_pct,t_statistic,p_value_raw,cohens_d,effect_size,significance,n,p_value_fdr,sig_after_fdr
gemini-2.5-pro,AWS,0.03461989278527827,0.028443940596092697,17.839316336103245,3.2365509545894353,0.002171677740645459,0.45771742552919664,small,**,50,0.009772549832904565,True
gemini-2.5-pro,Azure,0.03648947307013687,0.029694158394662086,18.622671427492048,3.6683222921855885,0.0006013897871515043,0.5187791136764419,medium,***,50,0.005412508084363539,True
gemini-2.5-pro,Google,0.034666666666666665,0.02666666666666667,23.07692307692307,1.4288690166235207,0.15938605197461628,0.202072594216369,small,ns,50,0.1793093084714433,False
gpt-4o,AWS,0.03461989278527827,0.029931501668883875,13.542477284586173,2.4913971281063936,0.016158708484461905,0.35233676078254417,small,*,50,0.03635709409003929,True
gpt-4o,Azure,0.03648947307013687,0.03153156362075343,13.587232240525307,2.536231061406893,0.014442830708807171,0.3586772364353538,small,*,50,0.043328492126421515,True
gpt-4o,Google,0.034666666666666665,0.024,30.769230769230763,1.9368004988250085,0.05854695855556669,0.2739049533049303,small,ns,50,0.08782043783335004,False
gpt-5-5,AWS,0.03461989278527827,0.0318830074636355,7.90552801135941,2.146701625677497,0.036793420762390956,0.30358945534014875,small,*,50,0.06622815737230373,False
gpt-5-5,Azure,0.03648947307013687,0.03484113102498165,4.517308435742326,1.5343742396832047,0.1313697746500332,0.2169932859515894,small,ns,50,0.1689039959786141,False
gpt-5-5,Google,0.034666666666666665,0.03066666666666667,11.53846153846153,0.9028605188239304,0.37101704311531714,0.12768375906520113,negligible,ns,50,0.37101704311531714,False
