article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_002,President,PERSON,-0.1223207738948986,-0.0899,0.0324207738948986,4
art_002,Trump,PERSON,-0.08694524259772152,-0.0899,0.0029547574022784767,4
art_002,ICE,ORGANIZATION,-0.08765241779619828,-0.0899,0.0022475822038017096,5
art_002,Biden,PERSON,-0.1119381767930463,-0.0899,0.022038176793046302,1
art_002,US Immigration and Customs Enforcement,ORGANIZATION,-0.005292195244692266,-0.0899,0.08460780475530773,1
art_002,ICE,ORGANIZATION,-0.08765241779619828,-0.0899,0.0022475822038017096,5
art_002,Hyundai Motor Company,ORGANIZATION,0.0042552954982966185,-0.0899,0.09415529549829661,1
art_002,Hyundai,ORGANIZATION,-0.0560528552508913,-0.0899,0.033847144749108694,5
art_002,Hyundai,ORGANIZATION,-0.0560528552508913,-0.0899,0.033847144749108694,5
art_002,Reuters,ORGANIZATION,-0.013394391164183617,-0.0899,0.07650560883581638,1
art_002,Korea,ORGANIZATION,-0.05956009263172746,-0.0899,0.030339907368272537,8
art_002,LG Energy Solutions,ORGANIZATION,-0.0034469650126993656,-0.0899,0.08645303498730063,1
art_002,South Korea,ORGANIZATION,-0.06722758980079864,-0.0899,0.022672410199201354,6
art_002,US embassy,ORGANIZATION,-0.012294840416871011,-0.0899,0.07760515958312898,1
art_002,US,ORGANIZATION,-0.049800186265761465,-0.0899,0.04009981373423853,13
art_002,South Korea,ORGANIZATION,-0.06722758980079864,-0.0899,0.022672410199201354,6
art_002,foreign ministry,ORGANIZATION,-0.01353662833571434,-0.0899,0.07636337166428565,1
art_002,Trump,PERSON,-0.08694524259772152,-0.0899,0.0029547574022784767,4
art_002,Governor,PERSON,0.02749009692342952,-0.0899,0.11739009692342951,1
art_002,Republican,ORGANIZATION,0.02749009692342952,-0.0899,0.11739009692342951,1
art_002,Brian Kemp,PERSON,0.02749009692342952,-0.0899,0.11739009692342951,1
art_002,Hyundai,ORGANIZATION,-0.0560528552508913,-0.0899,0.033847144749108694,5
art_002,Americans,PERSON,-0.14107993803918362,-0.0899,0.05117993803918362,1
art_003,South Korea,ORGANIZATION,-0.037129346755136794,-0.016,0.021129346755136794,8
art_003,president,PERSON,-0.039553860668092966,-0.016,0.023553860668092966,1
art_003,Lee Jae Myung,PERSON,-0.039553860668092966,-0.016,0.023553860668092966,1
art_003,US Immigration and Customs Enforcement,ORGANIZATION,-0.039553860668092966,-0.016,0.023553860668092966,1
art_003,Ice,ORGANIZATION,-0.08485877717612311,-0.016,0.06885877717612311,6
art_003,Cho Hyun,PERSON,-0.043127803364768624,-0.016,0.027127803364768624,1
art_003,foreign minister,PERSON,-0.043127803364768624,-0.016,0.027127803364768624,1
art_003,Ice,PERSON,-0.08485877717612311,-0.016,0.06885877717612311,6
art_003,South Korea,ORGANIZATION,-0.037129346755136794,-0.016,0.021129346755136794,8
