api,article_id,timestamp,status,entities_found,keyphrases_found,truncated,original_chars,chars_sent,opinions_found
Google,art_027,2026-05-23T00:20:24.880138,success,151,15,True,5599,4636,
Azure,art_027,2026-05-23T00:20:28.899795,success,130,114,True,5599,4636,2.0
AWS,art_028,2026-05-23T00:20:32.215671,success,110,215,True,5116,4722,
Google,art_028,2026-05-23T00:20:34.895971,success,180,15,True,5116,4722,
Azure,art_028,2026-05-23T00:20:39.633287,success,160,130,True,5116,4722,1.0
AWS,art_029,2026-05-23T00:20:42.968750,success,48,96,False,2152,2152,
Google,art_029,2026-05-23T00:20:45.214428,success,76,15,False,2152,2152,
Azure,art_029,2026-05-23T00:20:48.912800,success,61,57,False,2152,2152,2.0
AWS,art_030,2026-05-23T00:20:51.413514,success,71,156,False,4264,4264,
Google,art_030,2026-05-23T00:20:54.205320,success,133,15,False,4264,4264,
Azure,art_030,2026-05-23T00:20:57.826339,success,115,89,False,4264,4264,4.0
AWS,art_031,2026-05-23T00:21:01.235099,success,111,203,True,10825,4665,
Google,art_031,2026-05-23T00:21:03.909791,success,170,15,True,10825,4665,
Azure,art_031,2026-05-23T00:21:08.080650,success,156,120,True,10825,4665,2.0
AWS,art_032,2026-05-23T00:21:11.455478,success,43,93,False,2329,2329,
Google,art_032,2026-05-23T00:21:13.787277,success,81,15,False,2329,2329,
Azure,art_032,2026-05-23T00:21:16.512292,success,72,66,False,2329,2329,0.0
AWS,art_033,2026-05-23T00:21:18.972450,success,129,212,True,7108,4754,
Google,art_033,2026-05-23T00:21:21.084709,success,166,15,True,7108,4754,
Azure,art_033,2026-05-23T00:21:24.829147,success,167,124,True,7108,4754,2.0
AWS,art_034,2026-05-23T00:21:28.698038,success,83,185,False,4027,4027,
Google,art_034,2026-05-23T00:21:31.136060,success,152,15,False,4027,4027,
Azure,art_034,2026-05-23T00:21:35.027552,success,147,103,False,4027,4027,4.0
AWS,art_035,2026-05-23T00:21:38.254377,success,101,205,True,5813,4662,
Google,art_035,2026-05-23T00:21:40.917005,success,175,15,True,5813,4662,
Azure,art_035,2026-05-23T00:21:45.199440,success,165,118,True,5813,4662,0.0
AWS,art_036,2026-05-23T00:21:48.773610,success,43,75,False,2081,2081,
Google,art_036,2026-05-23T00:21:51.109526,success,75,15,False,2081,2081,
Azure,art_036,2026-05-23T00:21:54.747884,success,69,71,False,2081,2081,2.0
AWS,art_037,2026-05-23T00:21:57.064320,success,86,192,True,5712,4600,
Google,art_037,2026-05-23T00:22:00.353925,success,167,15,True,5712,4600,
Azure,art_037,2026-05-23T00:22:02.358985,success,142,121,True,5712,4600,3.0
AWS,art_038,2026-05-23T00:22:05.901789,success,73,179,True,4739,4336,
Google,art_038,2026-05-23T00:22:07.692865,success,160,15,True,4739,4336,
Azure,art_038,2026-05-23T00:22:11.628828,success,99,107,True,4739,4336,1.0
AWS,art_039,2026-05-23T00:22:14.991044,success,56,181,True,5841,4651,
Google,art_039,2026-05-23T00:22:17.664112,success,173,15,True,5841,4651,
Azure,art_039,2026-05-23T00:22:21.561157,success,127,126,True,5841,4651,0.0
AWS,art_040,2026-05-23T00:22:24.711333,success,69,171,False,4183,4183,
Google,art_040,2026-05-23T00:22:27.308939,success,170,15,False,4183,4183,
Azure,art_040,2026-05-23T00:22:30.814123,success,131,121,False,4183,4183,2.0
AWS,art_041,2026-05-23T00:22:34.030402,success,71,182,False,4643,4643,
Google,art_041,2026-05-23T00:22:36.555077,success,172,15,False,4643,4643,
Azure,art_041,2026-05-23T00:22:38.795428,success,123,143,False,4643,4643,0.0
AWS,art_042,2026-05-23T00:22:42.094780,success,62,87,False,2565,2565,
Google,art_042,2026-05-23T00:22:43.653509,success,90,15,False,2565,2565,
Azure,art_042,2026-05-23T00:22:47.365229,success,79,75,False,2565,2565,0.0
AWS,art_043,2026-05-23T00:22:50.065261,success,53,133,False,3017,3017,
Google,art_043,2026-05-23T00:22:52.526439,success,126,15,False,3017,3017,
