api,article_id,timestamp,status,entities_found,keyphrases_found,truncated,original_chars,chars_sent,opinions_found
AWS,art_116,2026-05-23T00:32:42.292257,success,78,171,True,6103,4607,
Google,art_116,2026-05-23T00:32:44.891734,success,138,15,True,6103,4607,
Azure,art_116,2026-05-23T00:32:47.139300,success,124,99,True,6103,4607,0.0
AWS,art_117,2026-05-23T00:32:50.595759,success,109,195,False,4723,4723,
Google,art_117,2026-05-23T00:32:53.481937,success,165,15,False,4723,4723,
Azure,art_117,2026-05-23T00:32:55.843696,success,143,137,False,4723,4723,1.0
AWS,art_118,2026-05-23T00:32:59.476185,success,92,143,False,3801,3801,
Google,art_118,2026-05-23T00:33:01.886967,success,129,15,False,3801,3801,
Azure,art_118,2026-05-23T00:33:05.177897,success,143,105,False,3801,3801,5.0
AWS,art_119,2026-05-23T00:33:08.883160,success,82,186,True,7233,4641,
Google,art_119,2026-05-23T00:33:11.469918,success,171,15,True,7233,4641,
Azure,art_119,2026-05-23T00:33:16.076388,success,130,134,True,7233,4641,4.0
AWS,art_120,2026-05-23T00:33:19.593916,success,79,115,False,2464,2464,
Google,art_120,2026-05-23T00:33:21.969629,success,91,15,False,2464,2464,
Azure,art_120,2026-05-23T00:33:25.595557,success,96,77,False,2464,2464,1.0
AWS,art_121,2026-05-23T00:33:28.104036,success,42,62,False,1565,1565,
Google,art_121,2026-05-23T00:33:30.452415,success,62,15,False,1565,1565,
Azure,art_121,2026-05-23T00:33:31.745033,success,57,54,False,1565,1565,1.0
AWS,art_122,2026-05-23T00:33:34.069683,success,98,194,True,7584,4759,
Google,art_122,2026-05-23T00:33:35.912836,success,163,15,True,7584,4759,
Azure,art_122,2026-05-23T00:33:40.288177,success,125,139,True,7584,4759,6.0
AWS,art_123,2026-05-23T00:33:43.911842,success,57,99,False,2518,2518,
Google,art_123,2026-05-23T00:33:46.215002,success,89,15,False,2518,2518,
Azure,art_123,2026-05-23T00:33:47.890648,success,81,79,False,2518,2518,0.0
AWS,art_124,2026-05-23T00:33:50.295584,success,69,131,False,3549,3549,
Google,art_124,2026-05-23T00:33:51.894544,success,120,15,False,3549,3549,
Azure,art_124,2026-05-23T00:33:54.831833,success,108,87,False,3549,3549,1.0
AWS,art_125,2026-05-23T00:33:57.694319,success,65,130,False,3506,3506,
Google,art_125,2026-05-23T00:34:00.578884,success,113,15,False,3506,3506,
Azure,art_125,2026-05-23T00:34:02.577181,success,108,90,False,3506,3506,0.0
AWS,art_126,2026-05-23T00:34:05.637443,success,103,172,True,6265,4578,
Google,art_126,2026-05-23T00:34:07.215436,success,133,15,True,6265,4578,
Azure,art_126,2026-05-23T00:34:09.880012,success,124,121,True,6265,4578,3.0
AWS,art_127,2026-05-23T00:34:13.133482,success,57,107,False,2420,2420,
Google,art_127,2026-05-23T00:34:15.735965,success,86,15,False,2420,2420,
Azure,art_127,2026-05-23T00:34:19.603818,success,70,69,False,2420,2420,4.0
AWS,art_128,2026-05-23T00:34:22.096750,success,126,199,True,8092,4739,
Google,art_128,2026-05-23T00:34:24.725992,success,159,15,True,8092,4739,
Azure,art_128,2026-05-23T00:34:34.490510,success,145,125,True,8092,4739,1.0
AWS,art_129,2026-05-23T00:34:37.841410,success,98,203,False,4414,4414,
Google,art_129,2026-05-23T00:34:40.251001,success,170,15,False,4414,4414,
Azure,art_129,2026-05-23T00:34:43.406157,success,143,128,False,4414,4414,2.0
AWS,art_130,2026-05-23T00:34:46.720393,success,51,100,False,2260,2260,
Google,art_130,2026-05-23T00:34:48.987859,success,84,15,False,2260,2260,
Azure,art_130,2026-05-23T00:34:50.712836,success,60,65,False,2260,2260,0.0
AWS,art_131,2026-05-23T00:34:53.444646,success,69,156,False,3507,3507,
Google,art_131,2026-05-23T00:34:55.243639,success,116,15,False,3507,3507,
Azure,art_131,2026-05-23T00:34:58.025879,success,94,95,False,3507,3507,2.0
AWS,art_132,2026-05-23T00:35:01.504537,success,110,209,True,16487,4723,
Google,art_132,2026-05-23T00:35:04.177144,success,176,15,True,16487,4723,
Azure,art_132,2026-05-23T00:35:06.509341,success,160,135,True,16487,4723,1.0
AWS,art_133,2026-05-23T00:35:09.795631,success,110,212,True,4737,4460,
Google,art_133,2026-05-23T00:35:12.923351,success,163,15,True,4737,4460,
Azure,art_133,2026-05-23T00:35:16.064863,success,137,130,True,4737,4460,0.0
AWS,art_134,2026-05-23T00:35:19.003674,success,69,160,False,3558,3558,
Google,art_134,2026-05-23T00:35:22.177536,success,123,15,False,3558,3558,
Azure,art_134,2026-05-23T00:35:25.944889,success,94,96,False,3558,3558,1.0
AWS,art_135,2026-05-23T00:35:28.678436,success,82,134,False,2943,2943,
Google,art_135,2026-05-23T00:35:31.098576,success,96,15,False,2943,2943,
Azure,art_135,2026-05-23T00:35:32.825050,success,90,81,False,2943,2943,2.0
AWS,art_136,2026-05-23T00:35:35.545123,success,27,60,False,1324,1324,
Google,art_136,2026-05-23T00:35:37.110984,success,53,15,False,1324,1324,
Azure,art_136,2026-05-23T00:35:39.480128,success,38,44,False,1324,1324,0.0
AWS,art_137,2026-05-23T00:35:41.652205,success,33,53,False,1129,1129,
Google,art_137,2026-05-23T00:35:43.124522,success,44,15,False,1129,1129,
Azure,art_137,2026-05-23T00:35:45.214257,success,47,41,False,1129,1129,1.0
AWS,art_138,2026-05-23T00:35:47.336993,success,76,159,False,3757,3757,
Google,art_138,2026-05-23T00:35:49.168545,success,129,15,False,3757,3757,
Azure,art_138,2026-05-23T00:35:53.201491,success,99,97,False,3757,3757,2.0
AWS,art_139,2026-05-23T00:35:56.260378,success,115,214,True,5590,4741,
Google,art_139,2026-05-23T00:35:58.846622,success,164,15,True,5590,4741,
Azure,art_139,2026-05-23T00:36:02.459613,success,149,135,True,5590,4741,1.0
AWS,art_140,2026-05-23T00:36:06.187156,success,91,208,False,4445,4445,
Google,art_140,2026-05-23T00:36:08.761287,success,172,15,False,4445,4445,
Azure,art_140,2026-05-23T00:36:11.023716,success,155,127,False,4445,4445,2.0
AWS,art_141,2026-05-23T00:36:14.502445,success,120,204,False,4668,4668,
Google,art_141,2026-05-23T00:36:17.181564,success,155,15,False,4668,4668,
Azure,art_141,2026-05-23T00:36:21.674666,success,146,138,False,4668,4668,1.0
AWS,art_142,2026-05-23T00:36:24.944829,success,149,222,True,5478,4662,
Google,art_142,2026-05-23T00:36:27.572926,success,155,15,True,5478,4662,
Azure,art_142,2026-05-23T00:36:29.969667,success,157,125,True,5478,4662,1.0
AWS,art_143,2026-05-23T00:36:33.320463,success,68,110,False,2725,2725,
Google,art_143,2026-05-23T00:36:35.903825,success,84,15,False,2725,2725,
Azure,art_143,2026-05-23T00:36:39.691525,success,89,68,False,2725,2725,0.0
AWS,art_144,2026-05-23T00:36:42.348934,success,77,135,False,3279,3279,
Google,art_144,2026-05-23T00:36:44.793834,success,112,15,False,3279,3279,
Azure,art_144,2026-05-23T00:36:47.559840,success,93,90,False,3279,3279,0.0
AWS,art_145,2026-05-23T00:36:50.588833,success,55,136,False,3053,3053,
Google,art_145,2026-05-23T00:36:53.845436,success,110,15,False,3053,3053,
Azure,art_145,2026-05-23T00:36:55.977237,success,88,90,False,3053,3053,1.0
AWS,art_146,2026-05-23T00:36:58.717141,success,110,165,False,3736,3736,
Google,art_146,2026-05-23T00:37:00.576252,success,122,15,False,3736,3736,
Azure,art_146,2026-05-23T00:37:04.684870,success,119,107,False,3736,3736,4.0
AWS,art_147,2026-05-23T00:37:08.034676,success,61,122,False,2722,2722,
Google,art_147,2026-05-23T00:37:10.328790,success,91,15,False,2722,2722,
Azure,art_147,2026-05-23T00:37:13.280924,success,83,83,False,2722,2722,0.0
AWS,art_148,2026-05-23T00:37:16.021241,success,111,201,True,6005,4724,
Google,art_148,2026-05-23T00:37:17.866548,success,159,15,True,6005,4724,
Azure,art_148,2026-05-23T00:37:21.066550,success,141,136,True,6005,4724,2.0
AWS,art_149,2026-05-23T00:37:24.330025,success,51,124,False,2880,2880,
Google,art_149,2026-05-23T00:37:26.708075,success,107,15,False,2880,2880,
Azure,art_149,2026-05-23T00:37:29.362468,success,61,91,False,2880,2880,0.0
AWS,art_150,2026-05-23T00:37:32.206439,success,116,198,False,4467,4467,
Google,art_150,2026-05-23T00:37:34.000751,success,159,15,False,4467,4467,
Azure,art_150,2026-05-23T00:37:37.040268,success,143,125,False,4467,4467,1.0
AWS,art_151,2026-05-23T00:37:40.600116,success,71,113,False,2454,2454,
Google,art_151,2026-05-23T00:37:42.962119,success,93,15,False,2454,2454,
Azure,art_151,2026-05-23T00:37:44.544293,success,82,79,False,2454,2454,0.0
AWS,art_152,2026-05-23T00:37:47.249803,success,149,214,True,5182,4698,
Google,art_152,2026-05-23T00:37:49.768492,success,154,15,True,5182,4698,
Azure,art_152,2026-05-23T00:37:53.015322,success,194,130,True,5182,4698,2.0
AWS,art_153,2026-05-23T00:37:56.416635,success,52,73,False,1585,1585,
Google,art_153,2026-05-23T00:37:58.731885,success,58,15,False,1585,1585,
Azure,art_153,2026-05-23T00:38:02.024943,success,76,50,False,1585,1585,0.0
AWS,art_154,2026-05-23T00:38:04.525188,success,139,206,True,5254,4696,
Google,art_154,2026-05-23T00:38:07.860704,success,159,15,True,5254,4696,
Azure,art_154,2026-05-23T00:38:12.694824,success,182,121,True,5254,4696,4.0
AWS,art_155,2026-05-23T00:38:16.049722,success,120,210,True,7419,4765,
Google,art_155,2026-05-23T00:38:18.661229,success,161,15,True,7419,4765,
Azure,art_155,2026-05-23T00:38:22.031132,success,172,125,True,7419,4765,1.0
AWS,art_156,2026-05-23T00:38:25.446897,success,136,222,True,10243,4689,
Google,art_156,2026-05-23T00:38:28.153631,success,164,15,True,10243,4689,
Azure,art_156,2026-05-23T00:38:31.527667,success,171,122,True,10243,4689,1.0
AWS,art_157,2026-05-23T00:38:34.877131,success,85,131,False,2878,2878,
Google,art_157,2026-05-23T00:38:37.161687,success,97,15,False,2878,2878,
Azure,art_157,2026-05-23T00:38:40.914179,success,112,82,False,2878,2878,0.0
AWS,art_158,2026-05-23T00:38:43.637306,success,152,215,False,4496,4496,
Google,art_158,2026-05-23T00:38:46.363577,success,145,15,False,4496,4496,
Azure,art_158,2026-05-23T00:38:49.030583,success,189,116,False,4496,4496,3.0
AWS,art_159,2026-05-23T00:38:52.333117,success,132,218,True,5424,4665,
Google,art_159,2026-05-23T00:38:55.259440,success,164,15,True,5424,4665,
Azure,art_159,2026-05-23T00:38:58.188924,success,170,140,True,5424,4665,0.0
AWS,art_160,2026-05-23T00:39:01.397989,success,49,62,False,1468,1468,
Google,art_160,2026-05-23T00:39:03.644792,success,51,15,False,1468,1468,
Azure,art_160,2026-05-23T00:39:05.921759,success,61,45,False,1468,1468,4.0
AWS,art_161,2026-05-23T00:39:08.610516,success,107,194,True,5723,4700,
Google,art_161,2026-05-23T00:39:10.437100,success,152,15,True,5723,4700,
Azure,art_161,2026-05-23T00:39:14.222136,success,140,139,True,5723,4700,1.0
AWS,art_162,2026-05-23T00:39:18.079207,success,133,207,True,6272,4712,
Google,art_162,2026-05-23T00:39:21.018106,success,167,15,True,6272,4712,
Azure,art_162,2026-05-23T00:39:24.666615,success,168,141,True,6272,4712,1.0
AWS,art_163,2026-05-23T00:39:27.843439,success,66,109,False,2411,2411,
Google,art_163,2026-05-23T00:39:30.238024,success,88,15,False,2411,2411,
Azure,art_163,2026-05-23T00:39:33.051362,success,92,63,False,2411,2411,1.0
AWS,art_164,2026-05-23T00:39:35.634401,success,97,192,True,5229,4757,
Google,art_164,2026-05-23T00:39:37.486523,success,152,15,True,5229,4757,
Azure,art_164,2026-05-23T00:39:41.771088,success,135,113,True,5229,4757,1.0
AWS,art_165,2026-05-23T00:39:45.339673,success,64,93,False,2001,2001,
Google,art_165,2026-05-23T00:39:47.579636,success,81,15,False,2001,2001,
Azure,art_165,2026-05-23T00:39:50.062057,success,78,70,False,2001,2001,0.0
AWS,art_166,2026-05-23T00:39:52.450680,success,119,199,True,6400,4635,
Google,art_166,2026-05-23T00:39:54.292899,success,153,15,True,6400,4635,
Azure,art_166,2026-05-23T00:39:57.800882,success,159,117,True,6400,4635,3.0
AWS,art_167,2026-05-23T00:40:01.098015,success,60,84,False,2157,2157,
Google,art_167,2026-05-23T00:40:03.461701,success,68,15,False,2157,2157,
Azure,art_167,2026-05-23T00:40:07.160822,success,71,61,False,2157,2157,1.0
AWS,art_168,2026-05-23T00:40:09.520202,success,115,208,True,5599,4774,
Google,art_168,2026-05-23T00:40:11.937407,success,172,15,True,5599,4774,
Azure,art_168,2026-05-23T00:40:15.258134,success,146,131,True,5599,4774,2.0
AWS,art_169,2026-05-23T00:40:18.716723,success,124,186,False,4623,4623,
Google,art_169,2026-05-23T00:40:21.494469,success,165,15,False,4623,4623,
Azure,art_169,2026-05-23T00:40:25.188699,success,171,141,False,4623,4623,0.0
AWS,art_170,2026-05-23T00:40:28.522280,success,119,205,False,4654,4654,
Google,art_170,2026-05-23T00:40:31.295525,success,168,15,False,4654,4654,
Azure,art_170,2026-05-23T00:40:34.618198,success,160,142,False,4654,4654,5.0
AWS,art_171,2026-05-23T00:40:37.803028,success,49,69,False,1669,1669,
Google,art_171,2026-05-23T00:40:40.235408,success,49,15,False,1669,1669,
Azure,art_171,2026-05-23T00:40:42.750309,success,59,40,False,1669,1669,0.0
AWS,art_172,2026-05-23T00:40:44.901749,success,138,196,True,5094,4761,
Google,art_172,2026-05-23T00:40:47.095803,success,157,15,True,5094,4761,
Azure,art_172,2026-05-23T00:40:50.366826,success,178,132,True,5094,4761,3.0
AWS,art_173,2026-05-23T00:40:53.593165,success,26,49,False,1351,1351,
Google,art_173,2026-05-23T00:40:55.879866,success,46,15,False,1351,1351,
Azure,art_173,2026-05-23T00:40:59.325124,success,33,39,False,1351,1351,1.0
AWS,art_174,2026-05-23T00:41:01.411307,success,122,181,True,5688,4634,
Google,art_174,2026-05-23T00:41:03.224589,success,149,15,True,5688,4634,
Azure,art_174,2026-05-23T00:41:06.658119,success,146,128,True,5688,4634,4.0
AWS,art_175,2026-05-23T00:41:10.111595,success,108,195,True,4952,4639,
Google,art_175,2026-05-23T00:41:12.801418,success,154,15,True,4952,4639,
Azure,art_175,2026-05-23T00:41:14.926991,success,126,112,True,4952,4639,3.0
AWS,art_176,2026-05-23T00:41:18.006739,success,79,185,True,7157,4607,
Google,art_176,2026-05-23T00:41:19.809274,success,145,15,True,7157,4607,
Azure,art_176,2026-05-23T00:41:22.224923,success,107,112,True,7157,4607,6.0
AWS,art_177,2026-05-23T00:41:25.786410,success,103,179,True,6558,4799,
Google,art_177,2026-05-23T00:41:28.572613,success,172,15,True,6558,4799,
Azure,art_177,2026-05-23T00:41:32.134506,success,143,137,True,6558,4799,1.0
AWS,art_178,2026-05-23T00:41:35.379463,success,99,186,False,4537,4537,
Google,art_178,2026-05-23T00:41:38.066213,success,158,15,False,4537,4537,
Azure,art_178,2026-05-23T00:41:42.273314,success,122,122,False,4537,4537,3.0
AWS,art_179,2026-05-23T00:41:45.502812,success,69,123,False,3224,3224,
Google,art_179,2026-05-23T00:41:47.805908,success,116,15,False,3224,3224,
Azure,art_179,2026-05-23T00:41:52.163057,success,92,90,False,3224,3224,0.0
AWS,art_180,2026-05-23T00:41:54.936107,success,95,178,True,6209,4781,
Google,art_180,2026-05-23T00:41:57.714722,success,154,15,True,6209,4781,
Azure,art_180,2026-05-23T00:42:00.296846,success,120,113,True,6209,4781,3.0
AWS,art_181,2026-05-23T00:42:03.447094,success,84,185,True,8673,4604,
Google,art_181,2026-05-23T00:42:06.794810,success,165,15,True,8673,4604,
Azure,art_181,2026-05-23T00:42:09.784690,success,118,139,True,8673,4604,1.0
AWS,art_182,2026-05-23T00:42:13.196883,success,101,205,True,4932,4696,
Google,art_182,2026-05-23T00:42:15.782550,success,156,15,True,4932,4696,
Azure,art_182,2026-05-23T00:42:17.933384,success,128,129,True,4932,4696,0.0
AWS,art_183,2026-05-23T00:42:21.436859,success,96,181,True,5565,4666,
Google,art_183,2026-05-23T00:42:24.854872,success,160,15,True,5565,4666,
Azure,art_183,2026-05-23T00:42:27.026063,success,122,125,True,5565,4666,1.0
AWS,art_184,2026-05-23T00:42:30.303016,success,14,23,False,716,716,
Google,art_184,2026-05-23T00:42:31.753420,success,19,15,False,716,716,
Azure,art_184,2026-05-23T00:42:34.984745,success,18,21,False,716,716,1.0
AWS,art_185,2026-05-23T00:42:36.999566,success,79,168,False,4211,4211,
Google,art_185,2026-05-23T00:42:38.806937,success,134,15,False,4211,4211,
Azure,art_185,2026-05-23T00:42:41.875345,success,114,107,False,4211,4211,1.0
AWS,art_186,2026-05-23T00:42:44.927866,success,71,169,True,4939,4681,
Google,art_186,2026-05-23T00:42:47.534164,success,131,15,True,4939,4681,
Azure,art_186,2026-05-23T00:42:49.714540,success,86,95,True,4939,4681,2.0
AWS,art_187,2026-05-23T00:42:52.928562,success,37,60,False,1443,1443,
Google,art_187,2026-05-23T00:42:54.454528,success,46,15,False,1443,1443,
Azure,art_187,2026-05-23T00:42:56.882934,success,44,39,False,1443,1443,0.0
AWS,art_188,2026-05-23T00:42:59.174628,success,83,171,False,3954,3954,
Google,art_188,2026-05-23T00:43:01.030540,success,155,15,False,3954,3954,
Azure,art_188,2026-05-23T00:43:02.993837,success,118,110,False,3954,3954,3.0
AWS,art_189,2026-05-23T00:43:05.688316,success,46,110,False,2378,2378,
Google,art_189,2026-05-23T00:43:07.186218,success,89,15,False,2378,2378,
Azure,art_189,2026-05-23T00:43:10.463163,success,70,68,False,2378,2378,1.0
AWS,art_190,2026-05-23T00:43:13.042722,success,23,57,False,1243,1243,
Google,art_190,2026-05-23T00:43:16.399702,success,49,15,False,1243,1243,
Azure,art_190,2026-05-23T00:43:17.856449,success,45,42,False,1243,1243,0.0
AWS,art_191,2026-05-23T00:43:20.095003,success,104,198,True,6429,4743,
Google,art_191,2026-05-23T00:43:21.930648,success,172,15,True,6429,4743,
Azure,art_191,2026-05-23T00:43:25.591658,success,158,135,True,6429,4743,5.0
AWS,art_192,2026-05-23T00:43:28.950205,success,80,123,False,2916,2916,
Google,art_192,2026-05-23T00:43:31.260260,success,108,15,False,2916,2916,
Azure,art_192,2026-05-23T00:43:34.325060,success,114,93,False,2916,2916,1.0
AWS,art_193,2026-05-23T00:43:37.153401,success,75,189,False,4219,4219,
Google,art_193,2026-05-23T00:43:40.386027,success,162,15,False,4219,4219,
Azure,art_193,2026-05-23T00:43:43.058038,success,124,117,False,4219,4219,3.0
AWS,art_194,2026-05-23T00:43:46.486549,success,65,199,True,6370,4706,
Google,art_194,2026-05-23T00:43:49.077463,success,186,15,True,6370,4706,
Azure,art_194,2026-05-23T00:43:52.603069,success,126,141,True,6370,4706,5.0
AWS,art_195,2026-05-23T00:43:56.019214,success,103,206,True,4914,4711,
Google,art_195,2026-05-23T00:43:58.798570,success,167,15,True,4914,4711,
Azure,art_195,2026-05-23T00:44:02.355839,success,134,124,True,4914,4711,4.0
AWS,art_196,2026-05-23T00:44:05.538423,success,70,183,True,6203,4624,
Google,art_196,2026-05-23T00:44:08.163866,success,180,15,True,6203,4624,
Azure,art_196,2026-05-23T00:44:11.349812,success,137,127,True,6203,4624,3.0
AWS,art_197,2026-05-23T00:44:14.545529,success,75,190,False,4214,4214,
Google,art_197,2026-05-23T00:44:17.329303,success,180,15,False,4214,4214,
Azure,art_197,2026-05-23T00:44:21.629963,success,121,126,False,4214,4214,8.0
AWS,art_198,2026-05-23T00:44:24.928716,success,87,194,True,8668,4711,
Google,art_198,2026-05-23T00:44:27.570777,success,185,15,True,8668,4711,
Azure,art_198,2026-05-23T00:44:31.824065,success,159,139,True,8668,4711,9.0
AWS,art_199,2026-05-23T00:44:35.378672,success,27,58,False,1644,1644,
Google,art_199,2026-05-23T00:44:37.631443,success,53,15,False,1644,1644,
Azure,art_199,2026-05-23T00:44:40.312430,success,42,48,False,1644,1644,3.0
AWS,art_200,2026-05-23T00:44:42.909501,success,60,117,False,2863,2863,
Google,art_200,2026-05-23T00:44:44.449979,success,96,15,False,2863,2863,
Azure,art_200,2026-05-23T00:44:48.423473,success,78,78,False,2863,2863,2.0
AWS,art_201,2026-05-23T00:44:51.078410,success,61,123,False,2909,2909,
Google,art_201,2026-05-23T00:44:53.597279,success,112,15,False,2909,2909,
Azure,art_201,2026-05-23T00:44:56.384272,success,97,94,False,2909,2909,2.0
AWS,art_202,2026-05-23T00:44:59.120906,success,17,27,False,574,574,
Google,art_202,2026-05-23T00:45:00.649884,success,22,15,False,574,574,
Azure,art_202,2026-05-23T00:45:03.551454,success,22,18,False,574,574,0.0
AWS,art_203,2026-05-23T00:45:05.453692,success,14,59,False,1532,1532,
Google,art_203,2026-05-23T00:45:06.908701,success,56,15,False,1532,1532,
Azure,art_203,2026-05-23T00:45:09.453871,success,41,53,False,1532,1532,1.0
AWS,art_204,2026-05-23T00:45:11.852019,success,83,148,False,3392,3392,
Google,art_204,2026-05-23T00:45:13.650609,success,111,15,False,3392,3392,
Azure,art_204,2026-05-23T00:45:16.885879,success,124,90,False,3392,3392,1.0
AWS,art_205,2026-05-23T00:45:19.709106,success,65,101,False,2469,2469,
Google,art_205,2026-05-23T00:45:22.050837,success,90,15,False,2469,2469,
Azure,art_205,2026-05-23T00:45:24.694779,success,95,68,False,2469,2469,0.0
AWS,art_206,2026-05-23T00:45:27.131637,success,78,203,True,6819,4793,
Google,art_206,2026-05-23T00:45:29.016030,success,170,15,True,6819,4793,
Azure,art_206,2026-05-23T00:45:33.112785,success,152,130,True,6819,4793,7.0
AWS,art_207,2026-05-23T00:45:37.083620,success,58,161,False,3969,3969,
Google,art_207,2026-05-23T00:45:39.763269,success,152,15,False,3969,3969,
Azure,art_207,2026-05-23T00:45:41.920391,success,117,117,False,3969,3969,2.0
AWS,art_208,2026-05-23T00:45:45.006309,success,72,183,False,3835,3835,
Google,art_208,2026-05-23T00:45:46.799225,success,150,15,False,3835,3835,
Azure,art_208,2026-05-23T00:45:49.805803,success,110,115,False,3835,3835,1.0
AWS,art_209,2026-05-23T00:45:53.137395,success,67,195,True,5697,4629,
Google,art_209,2026-05-23T00:45:55.634181,success,173,15,True,5697,4629,
Azure,art_209,2026-05-23T00:45:58.597549,success,119,136,True,5697,4629,10.0
AWS,art_210,2026-05-23T00:46:01.424317,success,39,138,False,3192,3192,
Google,art_210,2026-05-23T00:46:04.311321,success,134,15,False,3192,3192,
Azure,art_210,2026-05-23T00:46:07.035152,success,96,113,False,3192,3192,2.0
AWS,art_211,2026-05-23T00:46:09.966325,success,93,158,False,3800,3800,
Google,art_211,2026-05-23T00:46:11.852830,success,136,15,False,3800,3800,
Azure,art_211,2026-05-23T00:46:16.020869,success,133,116,False,3800,3800,5.0
AWS,art_212,2026-05-23T00:46:18.847941,success,77,164,False,3738,3738,
Google,art_212,2026-05-23T00:46:21.282568,success,142,15,False,3738,3738,
Azure,art_212,2026-05-23T00:46:25.030935,success,118,118,False,3738,3738,0.0
AWS,art_213,2026-05-23T00:46:27.770150,success,61,111,False,3039,3039,
Google,art_213,2026-05-23T00:46:30.088583,success,91,15,False,3039,3039,
Azure,art_213,2026-05-23T00:46:32.709062,success,88,73,False,3039,3039,0.0
AWS,art_214,2026-05-23T00:46:35.346824,success,106,208,True,8558,4713,
Google,art_214,2026-05-23T00:46:37.253819,success,159,15,True,8558,4713,
Azure,art_214,2026-05-23T00:46:39.082376,success,161,143,True,8558,4713,6.0
AWS,art_215,2026-05-23T00:46:42.595604,success,59,178,False,4368,4368,
Google,art_215,2026-05-23T00:46:44.369480,success,157,15,False,4368,4368,
Azure,art_215,2026-05-23T00:46:47.830076,success,107,136,False,4368,4368,1.0
AWS,art_216,2026-05-23T00:46:50.918520,success,57,188,True,17423,4696,
Google,art_216,2026-05-23T00:46:53.382264,success,172,15,True,17423,4696,
Azure,art_216,2026-05-23T00:46:56.674321,success,115,127,True,17423,4696,6.0
AWS,art_217,2026-05-23T00:47:00.242065,success,55,161,False,4200,4200,
Google,art_217,2026-05-23T00:47:02.850253,success,141,15,False,4200,4200,
Azure,art_217,2026-05-23T00:47:04.276580,success,96,116,False,4200,4200,1.0
AWS,art_218,2026-05-23T00:47:07.312919,success,78,181,False,4393,4393,
Google,art_218,2026-05-23T00:47:08.927876,success,157,15,False,4393,4393,
Azure,art_218,2026-05-23T00:47:12.082236,success,134,129,False,4393,4393,4.0
AWS,art_219,2026-05-23T00:47:15.021300,success,102,185,False,4278,4278,
Google,art_219,2026-05-23T00:47:17.498269,success,143,15,False,4278,4278,
Azure,art_219,2026-05-23T00:47:20.940751,success,138,125,False,4278,4278,5.0
AWS,art_220,2026-05-23T00:47:23.888485,success,97,199,True,5868,4764,
Google,art_220,2026-05-23T00:47:26.674002,success,162,15,True,5868,4764,
Azure,art_220,2026-05-23T00:47:29.236709,success,149,132,True,5868,4764,3.0
AWS,art_221,2026-05-23T00:47:32.488863,success,32,75,False,1653,1653,
Google,art_221,2026-05-23T00:47:34.746635,success,61,15,False,1653,1653,
Azure,art_221,2026-05-23T00:47:38.109834,success,44,53,False,1653,1653,0.0
AWS,art_222,2026-05-23T00:47:40.402356,success,55,176,True,5703,4569,
Google,art_222,2026-05-23T00:47:42.238508,success,151,15,True,5703,4569,
Azure,art_222,2026-05-23T00:47:45.331128,success,113,134,True,5703,4569,3.0
AWS,art_223,2026-05-23T00:47:48.533715,success,98,208,True,7679,4751,
Google,art_223,2026-05-23T00:47:51.249402,success,171,15,True,7679,4751,
Azure,art_223,2026-05-23T00:47:56.067721,success,149,147,True,7679,4751,4.0
AWS,art_224,2026-05-23T00:48:00.138150,success,80,174,False,4009,4009,
Google,art_224,2026-05-23T00:48:02.798034,success,158,15,False,4009,4009,
Azure,art_224,2026-05-23T00:48:06.773371,success,137,126,False,4009,4009,0.0
AWS,art_225,2026-05-23T00:48:09.845876,success,103,190,True,6504,4651,
Google,art_225,2026-05-23T00:48:12.443952,success,166,15,True,6504,4651,
Azure,art_225,2026-05-23T00:48:15.322879,success,160,138,True,6504,4651,10.0
AWS,art_226,2026-05-23T00:48:18.729786,success,67,204,True,6130,4754,
Google,art_226,2026-05-23T00:48:21.356087,success,156,15,True,6130,4754,
Azure,art_226,2026-05-23T00:48:23.856622,success,103,124,True,6130,4754,1.0
AWS,art_227,2026-05-23T00:48:27.303155,success,131,214,True,6531,4712,
Google,art_227,2026-05-23T00:48:29.743463,success,157,15,True,6531,4712,
Azure,art_227,2026-05-23T00:48:33.238173,success,158,160,True,6531,4712,4.0
AWS,art_228,2026-05-23T00:48:36.461740,success,43,82,False,1804,1804,
Google,art_228,2026-05-23T00:48:38.776258,success,55,15,False,1804,1804,
Azure,art_228,2026-05-23T00:48:41.212043,success,54,65,False,1804,1804,0.0
AWS,art_229,2026-05-23T00:48:43.609390,success,75,191,True,7179,4766,
Google,art_229,2026-05-23T00:48:45.421906,success,176,15,True,7179,4766,
Azure,art_229,2026-05-23T00:48:49.833062,success,102,145,True,7179,4766,3.0
AWS,art_230,2026-05-23T00:48:53.184534,success,86,172,True,5078,4552,
Google,art_230,2026-05-23T00:48:55.864787,success,130,15,True,5078,4552,
Azure,art_230,2026-05-23T00:49:00.288366,success,123,109,True,5078,4552,2.0
AWS,art_231,2026-05-23T00:49:03.153701,success,51,113,False,2891,2891,
Google,art_231,2026-05-23T00:49:05.595719,success,85,15,False,2891,2891,
Azure,art_231,2026-05-23T00:49:08.235756,success,69,82,False,2891,2891,0.0
AWS,art_232,2026-05-23T00:49:11.049414,success,50,177,True,6605,4710,
Google,art_232,2026-05-23T00:49:12.967245,success,152,15,True,6605,4710,
Azure,art_232,2026-05-23T00:49:15.995567,success,102,129,True,6605,4710,4.0
AWS,art_233,2026-05-23T00:49:19.397730,success,95,221,True,4998,4793,
